Aaoar1	Aaosphaeria	arxii	Aaosphaeria arxii
Colta1	Colletotrichum	tamarilloi	Colletotrichum tamarilloi
Colto1	Colletotrichum	tofieldiae	Colletotrichum tofieldiae
Coltof1	Colletotrichum	tofieldiae	Colletotrichum tofieldiae
Conap1	Coniosporium	apollinis	Coniosporium apollinis
Conco1	Conidiobolus	coronatus	Conidiobolus coronatus
Conioc1	Coniochaeta	sp.	Coniochaeta sp.
Conlig1	Coniochaeta	ligniaria	Coniochaeta ligniaria
ConPMI546	Coniochaeta	sp.	Coniochaeta sp.
Conpu1	Coniophora	puteana	Coniophora puteana
Conth1	Conidiobolus	thromboides	Conidiobolus thromboides
Copang1	Coprinellus	angulatus	Coprinellus angulatus
Copci	Coprinopsis	cinerea	Coprinopsis cinerea
Copscl1	Coprinopsis	sclerotiger	Coprinopsis sclerotiger
Corca1	Corynespora	cassicola	Corynespora cassicola
Corgl3	Cortinarius	glaucopus	Cortinarius glaucopus
Cornip1	Boliniaceae	sp.	Boliniaceae sp.
Corsim1	Myceliophthora	similis	Myceliophthora similis
Crafun1	Crassisporium	funariophilum	Crassisporium funariophilum
Creces1	Crepidotus	cesatii	Crepidotus cesatii
Crison1	Cristinia	sonorae	Cristinia sonorae
Croqu1	Cronartium	quercuum	Cronartium quercuum
Crypa2	Cryphonectria	parasitica	Cryphonectria parasitica
Crypo1	Cryptodiaporthe	populea	Cryptodiaporthe populea
Crypto1	Cryptodiaporthe	sp.	Cryptodiaporthe sp.
Cryvi1	Cryptococcus	vishniaci	Cryptococcus vishniaci
Cucbe1	Cucurbitaria	berberidis	Cucurbitaria berberidis
Cunech1	Cunninghamella	echinulata	Cunninghamella echinulata
Currey1	Teichospora	sp.	Teichospora sp.
Cybja1	Cyberlindnera	jadinii	Cyberlindnera jadinii
Cylto1	Cylindrobasidium	torrendii	Cylindrobasidium torrendii
Cypeu1	Cyphellophora	europaea	Cyphellophora europaea
Cysmur1	Cystostereum	murraii	Cystostereum murraii
Cytch1	Cytospora	chrysosperma	Cytospora chrysosperma
Cytmel1	Cytidiella	melzeri	Cytidiella melzeri
Daces1	Dactylonectria	estremocensis	Dactylonectria estremocensis
Dacma1	Dactylonectria	macrodidyma	Dactylonectria macrodidyma
Dacsp1	Dacryopinax	primogenitus	Dacryopinax primogenitus
